week_date,danceability,energy,valence,acousticness,tempo,loudness,speechiness,instrumentalness,liveness,key,mode,neg,neu,pos,compound,num_songs_on_chart,spotify_track_explicit,Peak Position,Weeks on Chart,year,month,day_of_year,week_of_year,quarter,is_holiday_season,DATE,USREC,UNRATE,GDP,CPIAUCSL
1974-01-31,0.5838809052604699,0.5803114466292134,0.6836908516343208,0.3629754526302349,119.81551599208376,-10.607880969101124,0.049587321246169505,0.054797111018896776,0.19809473314606735,4.859199438202247,0.7943692543411645,0.05669801980198015,0.7958688118811881,0.14747524752475244,0.533549504950495,101.0,0.0,44.17821782178218,7.774752475247524,1974.0,1.0,15.5,2.5,1.0,0.0,1974-01-01,1,5.1,1491.209,46.8
1974-02-28,0.5650817256871036,0.567692521141649,0.6829497489429175,0.38123317289904857,122.38722832980972,-10.648234738372093,0.061404076374207146,0.04853646353065535,0.2008181157505285,5.12718023255814,0.803580866807611,0.05338933168316827,0.7984074999999999,0.14822064356435644,0.5552866683168317,100.25,0.0,44.70698019801981,7.45569306930693,1974.0,2.0,43.5,6.5,1.0,0.0,1974-02-01,1,5.2,1491.209,47.3
1974-03-31,0.5594809694067902,0.5754767597313767,0.6505284368859595,0.3700872211696306,120.28604477614726,-10.281865899141897,0.05872379442855362,0.051167263837209265,0.2170484401193881,5.267612859097127,0.8022832980972515,0.047804,0.8023939999999999,0.14978399999999997,0.6624448000000001,100.0,0.0,46.528,7.0120000000000005,1974.0,3.0,75.0,11.0,1.0,0.0,1974-03-01,1,5.1,1491.209,47.8
1974-04-30,0.5788182810411376,0.5850023013442347,0.655964520579567,0.34803159071403067,117.94478076768738,-10.270499006855383,0.058008625360350397,0.06275757127121165,0.21436351810744209,5.649467593959534,0.7867745346983256,0.054364999999999976,0.7910175,0.154585,0.64415625,100.0,0.0,45.09,7.3825,1974.0,4.0,106.5,15.5,2.0,0.0,1974-04-01,1,5.1,1530.056,48.1
1974-05-31,0.5992755382364627,0.5992413051331141,0.6900048735084108,0.33083072511890566,118.59846868926778,-10.369180435947452,0.055955136395381,0.07071983315723243,0.21972799735698198,5.310651543064938,0.76065304820046,0.05755499999999995,0.7874825000000001,0.15494750000000002,0.55658175,100.0,0.0,44.8375,7.24,1974.0,5.0,134.5,19.5,2.0,0.0,1974-05-01,1,5.1,1530.056,48.6
1974-06-30,0.6138816546272319,0.6022351517423107,0.6934048793784926,0.3377626853823088,118.85547800190814,-10.472716851801371,0.06282277384035252,0.05648185272590972,0.22249389941392933,5.2675855254191095,0.7539968652037617,0.062046000000000004,0.80913,0.12881599999999999,0.4309834,100.0,0.0,45.952,6.936,1974.0,6.0,166.0,24.0,2.0,0.0,1974-06-01,1,5.4,1530.056,49.0
1974-07-31,0.6120139034576534,0.6127635683760684,0.7077243478743478,0.32725430421106666,119.03339975579976,-10.479739171939173,0.06306473151848146,0.053934374125180325,0.21369638382450878,5.446267621267621,0.726964701964702,0.060642499999999974,0.81559,0.1238325,0.43978025,100.0,0.0,42.635,7.21,1974.0,7.0,197.5,28.5,3.0,0.0,1974-07-01,1,5.5,1560.026,49.3
1974-08-31,0.5880245049345059,0.6201814342796197,0.7065927644789765,0.34036445644694757,117.85007388821268,-10.177783880217515,0.06344116482446419,0.05055351770443206,0.2019584674051408,5.354705131385593,0.7448092978479073,0.057092,0.80367,0.13930199999999998,0.5149132,100.0,0.0,38.142,8.048,1974.0,8.0,229.0,33.0,3.0,0.0,1974-08-01,1,5.5,1560.026,49.9
1974-09-30,0.5913734114823032,0.6181534212897196,0.689761913350678,0.3560872813601449,116.65397815859107,-10.243267661019866,0.058470030246923405,0.054439943485295024,0.18514345473336413,5.093101599868052,0.7800525929354679,0.06024,0.78604,0.1537575,0.5813855,100.0,0.0,38.44,7.9,1974.0,9.0,260.5,37.5,3.0,0.0,1974-09-01,1,5.9,1560.026,50.6
1974-10-31,0.583670054109845,0.6009225113056509,0.668350053393872,0.3763925169458214,115.25722540478615,-10.317963763188146,0.05685793361607325,0.037756676751194096,0.17933320768167513,5.328576119665441,0.8036886640029484,0.0597725,0.784365,0.1559025,0.5534822500000001,100.0,0.0,43.167500000000004,6.42,1974.0,10.0,288.5,41.5,4.0,0.0,1974-10-01,1,6.0,1599.679,51.0
