week_date,danceability,energy,valence,acousticness,tempo,loudness,speechiness,instrumentalness,liveness,key,mode,neg,neu,pos,compound,num_songs_on_chart,spotify_track_explicit,Peak Position,Weeks on Chart,year,month,day_of_year,week_of_year,quarter,is_holiday_season,DATE,USREC,UNRATE,GDP,CPIAUCSL,dominant_topic,second_topic,dominant_topic_prob,second_topic_prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,dominant_topic_label,second_topic_label
1974-01-31,0.5838809052604699,0.5803114466292134,0.6836908516343208,0.3629754526302349,119.81551599208376,-10.607880969101124,0.0495873212461695,0.0547971110188967,0.1980947331460673,4.859199438202247,0.7943692543411645,0.0566980198019801,0.7958688118811881,0.1474752475247524,0.533549504950495,101.0,0.0,44.17821782178218,7.774752475247524,1974.0,1.0,15.5,2.5,1.0,0.0,1974-01-01,1,5.1,1491.209,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-02-28,0.5650817256871036,0.567692521141649,0.6829497489429175,0.3812331728990485,122.38722832980972,-10.648234738372093,0.0614040763742071,0.0485364635306553,0.2008181157505285,5.12718023255814,0.803580866807611,0.0533893316831682,0.7984074999999999,0.1482206435643564,0.5552866683168317,100.25,0.0,44.70698019801981,7.45569306930693,1974.0,2.0,43.5,6.5,1.0,0.0,1974-02-01,1,5.2,1491.209,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-03-31,0.5594809694067902,0.5754767597313767,0.6505284368859595,0.3700872211696306,120.28604477614726,-10.281865899141897,0.0587237944285536,0.0511672638372092,0.2170484401193881,5.267612859097127,0.8022832980972515,0.047804,0.8023939999999999,0.1497839999999999,0.6624448000000001,100.0,0.0,46.528,7.0120000000000005,1974.0,3.0,75.0,11.0,1.0,0.0,1974-03-01,1,5.1,1491.209,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-04-30,0.5788182810411376,0.5850023013442347,0.655964520579567,0.3480315907140306,117.94478076768738,-10.270499006855385,0.0580086253603503,0.0627575712712116,0.214363518107442,5.649467593959534,0.7867745346983256,0.0543649999999999,0.7910175,0.154585,0.64415625,100.0,0.0,45.09,7.3825,1974.0,4.0,106.5,15.5,2.0,0.0,1974-04-01,1,5.1,1530.056,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-05-31,0.5992755382364627,0.5992413051331141,0.6900048735084108,0.3308307251189056,118.59846868926778,-10.369180435947452,0.055955136395381,0.0707198331572324,0.2197279973569819,5.310651543064938,0.76065304820046,0.0575549999999999,0.7874825000000001,0.1549475,0.55658175,100.0,0.0,44.8375,7.24,1974.0,5.0,134.5,19.5,2.0,0.0,1974-05-01,1,5.1,1530.056,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-06-30,0.6138816546272319,0.6022351517423107,0.6934048793784926,0.3377626853823088,118.85547800190814,-10.472716851801373,0.0628227738403525,0.0564818527259097,0.2224938994139293,5.2675855254191095,0.7539968652037617,0.062046,0.80913,0.1288159999999999,0.4309834,100.0,0.0,45.952,6.936,1974.0,6.0,166.0,24.0,2.0,0.0,1974-06-01,1,5.4,1530.056,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-07-31,0.6120139034576534,0.6127635683760684,0.7077243478743478,0.3272543042110666,119.03339975579976,-10.479739171939173,0.0630647315184814,0.0539343741251803,0.2136963838245087,5.446267621267621,0.726964701964702,0.0606424999999999,0.81559,0.1238325,0.43978025,100.0,0.0,42.635,7.21,1974.0,7.0,197.5,28.5,3.0,0.0,1974-07-01,1,5.5,1560.026,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-08-31,0.5880245049345059,0.6201814342796197,0.7065927644789765,0.3403644564469475,117.85007388821268,-10.177783880217516,0.0634411648244641,0.050553517704432,0.2019584674051408,5.354705131385593,0.7448092978479073,0.057092,0.80367,0.1393019999999999,0.5149132,100.0,0.0,38.142,8.048,1974.0,8.0,229.0,33.0,3.0,0.0,1974-08-01,1,5.5,1560.026,49.9,20,14,0.09164261,0.077010244,0.034367576,0.022686614,0.03617773,0.04121499,0.012702894,0.013586124,0.044918135,0.024949001,0.03006016,0.02941612,0.04234071,0.033741783,0.028204404,0.031043218,0.077010244,0.015218197,0.02127476,0.034796506,0.048919726,0.025222367,0.09164261,0.049472462,0.02938218,0.008906803,0.053933676,0.024954181,0.024426704,0.018504309,0.011395717,0.039530154,,
1974-09-30,0.5913734114823032,0.6181534212897196,0.689761913350678,0.3560872813601449,116.65397815859107,-10.243267661019866,0.0584700302469234,0.054439943485295,0.1851434547333641,5.093101599868052,0.7800525929354679,0.06024,0.78604,0.1537575,0.5813855,100.0,0.0,38.44,7.9,1974.0,9.0,260.5,37.5,3.0,0.0,1974-09-01,1,5.9,1560.026,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-10-31,0.583670054109845,0.6009225113056509,0.668350053393872,0.3763925169458214,115.25722540478615,-10.317963763188146,0.0568579336160732,0.037756676751194,0.1793332076816751,5.328576119665441,0.8036886640029484,0.0597725,0.784365,0.1559025,0.5534822500000001,100.0,0.0,43.1675,6.42,1974.0,10.0,288.5,41.5,4.0,0.0,1974-10-01,1,6.0,1599.679,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-11-30,0.5888727887158389,0.5892123420511314,0.6836946811636792,0.3732865230678812,118.37436594181604,-10.345019306494269,0.0542459947105494,0.034834684572436,0.1895189303555685,5.225595063179548,0.7883632089332941,0.0609059999999999,0.784468,0.1546499999999999,0.5511864,100.0,0.0,41.304,6.346,1974.0,11.0,320.0,46.0,4.0,1.0,1974-11-01,1,6.6,1599.679,51.5,20,21,0.076324455,0.075149976,0.049654942,0.020817624,0.032771435,0.03537514,0.011140857,0.0060571246,0.05127363,0.028334055,0.00917823,0.022230582,0.029511496,0.03057878,0.025678534,0.033296913,0.060594074,0.008401767,0.042266678,0.039748635,0.051690396,0.04836623,0.076324455,0.075149976,0.020889735,0.012297906,0.040916327,0.019015048,0.023655403,0.036516726,0.015386906,0.04288043,,
1974-12-31,0.5911325174228984,0.5784748900752059,0.6827189095133923,0.3800178178840021,118.52319364268276,-10.41344171718491,0.052641122847306,0.0341949071353163,0.1920509074690813,4.6880661761771565,0.7927051476003382,0.0622174999999999,0.77908,0.1586975,0.55688275,100.0,0.0,41.43,6.8225,1974.0,12.0,351.5,50.5,4.0,1.0,1974-12-01,1,7.2,1599.679,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-01-31,0.585590895185909,0.5913265794486464,0.6956041307925377,0.3516811529623638,116.58456926171748,-10.348070544511575,0.0467220915083681,0.0397043244524719,0.1879236112361961,4.875527233392315,0.8043606722597152,0.0690474999999999,0.789865,0.141085,0.4837614999999999,100.0,0.0,42.505,7.37,1975.0,1.0,14.5,2.5,1.0,0.0,1975-01-01,1,8.1,1616.116,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-02-28,0.5718986216710504,0.5845020487423969,0.6853370099046523,0.3785199599236601,117.9799944656214,-10.514162488184285,0.048524106988739,0.0468223263824387,0.182158585196449,5.370821346375144,0.8466854348183461,0.0622399999999999,0.811985,0.1257875,0.46229675,100.0,0.0,44.5875,6.7375,1975.0,2.0,42.5,6.5,1.0,0.0,1975-02-01,1,8.1,1616.116,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-03-31,0.570033336749859,0.5742908257742702,0.6824558166350638,0.3799568384324979,119.35586374724544,-10.825257559063187,0.0536845495310818,0.0424768576402056,0.1813694459249388,5.759522711354824,0.813814721809392,0.061602,0.80876,0.1296699999999999,0.4462778,100.0,0.0,44.734,6.537999999999999,1975.0,3.0,74.0,11.0,1.0,0.0,1975-03-01,1,8.6,1616.116,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-04-30,0.5813209691481399,0.5551693567457087,0.6784717755035737,0.3597407924459824,117.97598076693728,-10.924533344025791,0.0512775608956168,0.036754534559779,0.1495299941499905,6.071034433834234,0.788273352744261,0.0649549999999999,0.8062675,0.1288225,0.3952469999999999,100.0,0.0,45.4275,6.51,1975.0,4.0,105.5,15.5,2.0,0.0,1975-04-01,0,8.8,1651.853,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-05-31,0.5727891775409185,0.5980897126923069,0.6960237623725092,0.3366149834739991,119.66463740885716,-10.539403727148631,0.0580327012436054,0.0491861711149595,0.1730258634267025,5.854084294044439,0.798865379944532,0.0717139999999999,0.795542,0.1328,0.3722877999999999,100.0,0.0,46.13,6.6,1975.0,5.0,137.0,20.0,2.0,0.0,1975-05-01,0,9.0,1651.853,53.1,21,14,0.073758766,0.06899756,0.061096333,0.032604214,0.025298992,0.027486583,0.019564228,0.010337466,0.060715646,0.023778683,0.019284943,0.018256772,0.032088317,0.03359005,0.02830898,0.04331823,0.06899756,0.0077904575,0.02290461,0.04472478,0.06158127,0.02992099,0.060585376,0.073758766,0.02105743,0.008920231,0.044551086,0.028542954,0.01738793,0.030870702,0.010736038,0.031940423,,
1975-06-30,0.5823280879063459,0.5963380177929347,0.6843098063570504,0.3193296428362989,117.94887218104044,-10.45712696967224,0.0540450314335309,0.0625038211770841,0.1720243056472814,5.626693482270957,0.7833118884410133,0.07141,0.8005450000000001,0.1280774999999999,0.3845702499999999,100.0,0.0,46.2575,6.8475,1975.0,6.0,168.5,24.5,2.0,0.0,1975-06-01,0,8.8,1651.853,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-07-31,0.580341466237579,0.5768338825843119,0.6558302572643782,0.335976188983928,116.87716924025143,-10.463116356142727,0.051175990006775,0.0585419165377521,0.1813581931270701,5.326087774766637,0.766014566395664,0.0588249999999999,0.7883549999999999,0.1527974999999999,0.4613525,100.0,0.0,45.6925,6.8575,1975.0,7.0,196.5,28.5,3.0,0.0,1975-07-01,0,8.6,1709.82,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-08-31,0.5722044973544973,0.5736724201940036,0.634670930335097,0.3519643220414462,117.83058348765432,-10.78448275132275,0.0514204444444443,0.0487134336992944,0.1898028311287477,5.264616402116403,0.7493827160493827,0.0550759999999999,0.778298,0.166582,0.5698496000000001,100.0,0.0,46.538,6.698,1975.0,8.0,228.0,33.0,3.0,0.0,1975-08-01,0,8.4,1709.82,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-09-30,0.5963446612873696,0.5820148803836304,0.650810471175992,0.344571881275025,117.6635271104844,-10.61587497879373,0.0580625705805914,0.0420112202553066,0.1906534690169064,5.12071543946544,0.7758205851955852,0.0547624999999999,0.7752075,0.16999,0.61802625,100.0,0.0,46.47,6.7275,1975.0,9.0,259.5,37.5,3.0,0.0,1975-09-01,0,8.4,1709.82,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-10-31,0.6008843186936936,0.5761120690401941,0.6529695187976438,0.3362710810854122,116.1568471153846,-10.523681217515591,0.0573396621621621,0.0570977973601004,0.1840967286036035,5.2853733541233545,0.7215479902979902,0.0523324999999999,0.7870125,0.1606025,0.6124175000000001,100.0,0.0,45.1625,7.03,1975.0,10.0,287.5,41.5,4.0,0.0,1975-10-01,0,8.4,1761.831,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-11-30,0.5962805132667339,0.5972448613103778,0.6582514308234585,0.2997368668185521,117.7772960446446,-10.163088430354076,0.048604791412048,0.0398721672889543,0.1774792178959207,5.120912287227448,0.7133188975680607,0.0543599999999999,0.77762,0.1679459999999999,0.629283,100.0,0.0,44.738,7.081999999999999,1975.0,11.0,319.0,46.0,4.0,1.0,1975-11-01,0,8.3,1761.831,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-12-31,0.5820282001979551,0.588219751807021,0.647959978808365,0.3236275895612752,115.76883279198373,-10.326515164050724,0.0477926758440331,0.0602712883262694,0.1841248622713981,4.870182336596263,0.7360244742385994,0.0555223514851485,0.7840366336633664,0.1604035891089109,0.5886100198019801,100.25,0.0,45.5689603960396,6.6882673267326735,1975.0,12.0,350.5,50.5,4.0,1.0,1975-12-01,0,8.2,1761.831,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-01-31,0.5788516480612771,0.5642979627104137,0.6306738167198181,0.3591045922922427,116.47432014245896,-10.6974457973962,0.054632537316521,0.0528851788087764,0.1909115540657159,4.737012008621431,0.766370761449844,0.0564930693069306,0.7849960396039604,0.1584633663366336,0.5633788118811881,101.0,0.0,46.06138613861386,6.958415841584158,1976.0,1.0,17.0,3.0,1.0,0.0,1976-01-01,0,7.9,1820.487,55.8,20,6,0.113996975,0.08035723,0.059147082,0.028742561,0.02019151,0.027360534,0.024322115,0.014753286,0.08035723,0.043161437,0.023018489,0.027856734,0.0314273,0.019728279,0.026122548,0.031915206,0.057261348,0.013499485,0.025118135,0.02939666,0.052995462,0.04039851,0.113996975,0.049715064,0.0174194,0.009183275,0.03215666,0.02253072,0.015034893,0.030440358,0.011117758,0.021631049,,
1976-02-29,0.5755110697492163,0.6021347603187042,0.6364208790491117,0.3442902057210031,120.32758561912226,-10.04915131922675,0.0570126893939393,0.0573374676724137,0.1798744252873562,5.017274033437827,0.7892176071055381,0.0573712871287128,0.7951361386138613,0.1474777227722772,0.4986086633663366,101.0,0.0,45.79950495049505,7.321782178217822,1976.0,2.0,48.5,7.5,1.0,0.0,1976-02-01,0,7.7,1820.487,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-03-31,0.5763304959353428,0.59888740931176,0.6326052824818781,0.3344489451349905,122.33026804566252,-9.971495197100491,0.0562141706762897,0.046438177622372,0.1803373953960092,5.304884664370961,0.7935904995518657,0.0576485148514851,0.7958366336633663,0.146539603960396,0.4916101485148515,101.0,0.0,44.086633663366335,7.799504950495049,1976.0,3.0,76.5,11.5,1.0,0.0,1976-03-01,0,7.6,1820.487,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-04-30,0.5666002947269525,0.6075271265046808,0.6448552729223934,0.3277862090927316,122.51656154272928,-9.72518685731674,0.0527794412820715,0.0455160879640816,0.1867728477928132,4.9324467938739245,0.757217518121924,0.0599059405940593,0.7879554455445544,0.1521336633663365,0.4645648514851485,101.0,0.0,44.1980198019802,7.52970297029703,1976.0,4.0,104.5,15.5,2.0,0.0,1976-04-01,0,7.7,1852.332,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-05-31,0.5890908922204693,0.5969956136708233,0.6586612781406527,0.3384510552351208,120.29479875621374,-10.165725126540464,0.0503401345799532,0.0536172342921953,0.1758377415335968,4.987129273095357,0.7495945324959679,0.0588712871287128,0.7876039603960396,0.1535029702970296,0.4216237623762375,101.0,0.0,42.61584158415842,7.679207920792079,1976.0,5.0,136.0,20.0,2.0,0.0,1976-05-01,0,7.4,1852.332,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-06-30,0.5998933799198884,0.6331805860327412,0.695269982149077,0.2941455605538139,120.50768798328107,-9.96817345654824,0.0549045252089863,0.0794029769200626,0.1751200217694182,4.759154040404041,0.7224159700452804,0.0540742574257425,0.7849851485148515,0.1609628712871286,0.4700400990099009,101.0,0.0,43.46039603960397,7.207920792079208,1976.0,6.0,167.5,24.5,2.0,0.0,1976-06-01,0,7.6,1852.332,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-07-31,0.5980893936458737,0.6228190158070437,0.6986519307761849,0.2809682128429588,120.83488171642814,-10.27798714205206,0.0596159177947627,0.0572179362433321,0.1697935062011044,4.963920823891765,0.7353411879351437,0.052934,0.795718,0.151354,0.4842764,100.0,0.0,44.44,7.058,1976.0,7.0,199.0,29.0,3.0,0.0,1976-07-01,0,7.8,1886.558,57.0,14,6,0.10357323,0.075645335,0.032556057,0.028365197,0.021375185,0.019266602,0.028266018,0.0063908026,0.075645335,0.024674576,0.023498323,0.019138915,0.050528675,0.019248372,0.01455551,0.027432367,0.10357323,0.014142967,0.03040689,0.028729336,0.049362373,0.02150153,0.071027964,0.043503873,0.027862776,0.00605296,0.06550986,0.035546016,0.027217124,0.039781366,0.011509129,0.03333069,,
